encoder,family,dim,stochastic,seed,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc,silhouette_lab,linear_probe
PCA-30,PCA,30,False,1,0.008844947442412376,27.5802001953125,20.118959011477568,-3.233376979827881,0.5938960313796997,0.013639543748986752,0.6541721454045326,0.7975541536082811,0.9503406934621357,0.17740124464035034,0.957545569547467
PCA-15,PCA,15,False,1,0.019846990704536438,13.495109558105469,11.90767315166589,-2.664961099624634,0.27100875973701477,0.01933860413601779,0.8944188966660557,0.879920246499992,0.9594416652291414,0.2806457579135895,0.9552714047495832
PCA-10,PCA,10,False,1,0.02968595363199711,9.046608924865723,8.746168312525208,-2.3020541667938232,0.13492724299430847,0.021660959951604244,0.6459404857985426,0.7974388754072465,0.9628507561382325,0.35650041699409485,0.9575426944971536
PCA-5,PCA,5,False,1,0.0564628541469574,4.795331001281738,4.774616326586353,-1.6692394018173218,0.025049377232789993,0.010909743510226817,0.6260089033537404,0.7765340187430443,0.9495874302800298,0.4579760730266571,0.9499662181588177
PCA-2,PCA,2,False,1,0.0724860280752182,1.9820433855056763,1.940520518270784,-1.2580783367156982,0.00036251003621146083,0.004822573369800892,0.5493313895393829,0.6915668207031673,0.8999259674544305,0.40820714831352234,0.9037174400552009
ICA-30,ICA,30,True,1,0.0008809238206595182,29.999988555908203,19.70946002633887,-3.710195302963257,0.872550368309021,0.007076171470566389,0.6212495907945156,0.7696992135671528,0.8377544419527343,0.05313534289598465,0.9594380714162497
ICA-10,ICA,10,True,1,0.011151743121445179,10.000000953674316,8.028338599021849,-2.9195728302001953,0.1969558447599411,0.011525306990785017,0.860004303261594,0.8464427798019059,0.9575477258352022,0.2583943009376526,0.9579265137139901
NMF-30,NMF,30,True,1,0.018059756606817245,24.975624084472656,15.774979995641363,-1.870245337486267,0.20827141404151917,0.018415182729585422,0.8540822721175267,0.8286666893875112,0.9412397216951296,0.25407806038856506,0.9393443447760335
NMF-10,NMF,10,True,1,0.06718399375677109,8.702322959899902,6.597731281029232,-1.650091528892517,0.035477153956890106,0.011906461928427823,0.8464795787972703,0.8239559112981649,0.9401040768213444,0.41545987129211426,0.9363111666954171
AE-30,AE,30,True,1,0.0059610153548419476,27.25048065185547,19.49464459913069,-3.2187907695770264,0.6254779100418091,0.02930632888861168,0.6301473080797465,0.7559866944062462,0.9010637686159507,0.11509432643651962,0.9363169167960439
AE-10,AE,10,True,1,0.017683595418930054,9.30536937713623,9.106330176841553,-2.7694058418273926,0.2428072690963745,0.022358941836404304,0.8702373982479009,0.8540094359801164,0.9378299120234604,0.23809073865413666,0.9465485020987867
RandProj-30,control,30,True,1,-0.0004062182561028749,29.823740005493164,22.594644247383027,-3.7288947105407715,0.960678219795227,0.004371497035087529,0.05434213811557204,0.10681970059868068,0.4912778161117819,-0.0020490579772740602,0.5879312575470071
Noise-30,control,30,True,1,-0.00011544006857806206,29.951140865608938,22.40884853469289,-3.734011547372073,0.9719897773109399,0.002913192849403668,-0.0004267038162497483,0.005433646314546871,0.38249238111666956,-0.033071733971388975,0.43138764303375304
ShufPCA-30,control,30,True,1,0.00230335327796638,27.536100387573242,20.819408620552615,-3.408158779144287,0.7084511518478394,0.0028552007977382474,0.00047939745936101294,0.006558320912712854,0.39044980162152837,-0.018539827316999435,0.4279728020240355
scVI-30,scVI,30,True,1,-0.00022949902631808072,28.143495559692383,16.22812150301916,-3.5127789974212646,0.6631575226783752,0.04995791778919059,0.45550559518528705,0.6769929833384191,0.9283594962911851,0.0911063700914383,0.9363104479328388
scVI-10,scVI,10,True,1,-0.00041629045153968036,9.82923412322998,9.076967039072617,-3.0425071716308594,0.29479601979255676,0.014565334609908607,0.5124488980385314,0.7037389837241288,0.9336589327813236,0.1397438496351242,0.9385867690184577
PCA-50,PCA,50,False,2,0.003724230220541358,46.970237731933594,28.38585921961737,-3.548830986022949,0.8480014801025391,0.016441580820034125,0.6449624143211952,0.7985450068353402,0.9336704329825771,0.12110330909490585,0.9499647806336611
PCA-30,PCA,30,False,2,0.007649057544767857,27.578359603881836,19.9655484671387,-3.2432315349578857,0.594258189201355,0.007541591959788473,0.8979220692560114,0.8824302867699081,0.9458002702547296,0.1742515116930008,0.9567836812144211
PCA-15,PCA,15,False,2,0.018801642581820488,13.500246047973633,11.761575585389604,-2.6757802963256836,0.2741663455963135,0.013675353046178784,0.8962384813072642,0.883151930391524,0.9598182968201943,0.2797543704509735,0.9605744350526134
PCA-10,PCA,10,False,2,0.027812043204903603,9.034842491149902,8.739164596896552,-2.3153812885284424,0.13810090720653534,0.013390206311704246,0.6466428033200631,0.7938974846175889,0.9609604105571847,0.34827810525894165,0.9579272324765682
PCA-5,PCA,5,False,2,0.0544825941324234,4.795158386230469,4.73692827480495,-1.674010992050171,0.02507064677774906,0.012443145410915445,0.6245139761740199,0.7750278481344635,0.9503514749008108,0.4562884569168091,0.9511068943706513
PCA-2,PCA,2,False,2,0.07068498432636261,1.9820432662963867,1.9404765367643257,-1.2602291107177734,0.0003625108511187136,0.004835644923485764,0.5515436885495881,0.6909344748535137,0.8995543672014261,0.40820571780204773,0.903723908918406
